date,regime_label,regime_label_raw,prob_high_tpu,prob_high_tpu_smooth,prob_mid_tpu_smooth,prob_low_tpu_smooth,log_tpu,delta_log_tpu,vix,tpu
2018-06-22,Low-TPU,Low-TPU,0.0,1.3024769547450313e-15,0.00017760459413294606,0.9998223954057277,4.823019748841191,-1.1059575052549668,14.64,124.34
2018-06-25,Low-TPU,Low-TPU,5.791711039718201e-53,9.980657696620908e-15,0.00020971105024846694,0.9997902889496432,5.265329190721056,0.442309441879865,13.77,193.51
2018-06-26,Low-TPU,Low-TPU,6.039035923390634e-15,1.9010617142716586e-14,0.0002385207653523366,0.9997614792345766,4.83763020393965,-0.4276989867814063,17.33,126.17
2018-06-27,Low-TPU,Low-TPU,1.446416049073514e-17,3.61318382172008e-14,0.0003192272559893282,0.9996807727439434,4.041119578762556,-0.7965106251770937,15.92,56.89
2018-06-28,Low-TPU,Low-TPU,4.588846898437867e-16,2.912379596170629e-11,0.0006925612188504271,0.9993074387520073,4.52124495105033,0.4801253722877741,17.91,91.95
2018-06-29,Low-TPU,Low-TPU,5.337156140600029e-14,2.685530774237393e-11,0.0008249699452244003,0.9991750300278845,5.02984951302006,0.5086045619697295,16.85,152.91
2018-07-02,Low-TPU,Low-TPU,7.319037381929063e-14,2.7134113691643806e-11,0.0009495978254346659,0.9990504021474178,4.829592918800682,-0.20025659421937814,16.09,125.16
2018-07-03,Low-TPU,Low-TPU,1.5598038573859033e-13,2.714422957068105e-11,0.000953217124706122,0.9990467828481739,4.75892078579401,-0.07067213300667152,15.6,116.62
2018-07-05,Low-TPU,Low-TPU,2.61825108949619e-10,2.7153708384659008e-11,0.0009710888172583268,0.9990289111556085,6.084362729474712,1.3254419436807021,16.14,438.94
2018-07-06,Low-TPU,Low-TPU,6.438913768382643e-12,2.7203996105477997e-11,0.0010398128378970555,0.9989601871349485,5.181727368938661,-0.9026353605360509,14.97,177.99
2018-07-09,Low-TPU,Low-TPU,2.788059492698755e-12,2.814203826921909e-11,0.0011674507091841424,0.9988325492627304,5.2548878086207,0.07316043968203889,13.37,191.5
2018-07-10,Low-TPU,Low-TPU,1.0115879037245866e-13,2.813796669796032e-11,0.0011642361757763834,0.9988357637961471,4.813321919483064,-0.44156588913763617,12.69,123.14
2018-07-11,Low-TPU,Low-TPU,1.0082717570296309e-13,2.8180784523063098e-11,0.0011882758631411585,0.9988117241087349,4.860199926164623,0.04687800668155884,12.64,129.05
2018-07-12,Low-TPU,Low-TPU,5.028916723503903e-13,2.8165400549916623e-11,0.0011188270454478354,0.998881172926437,5.037017535370374,0.1768176092057514,13.63,154.01
2018-07-13,Low-TPU,Low-TPU,9.380880522100794e-12,2.0594163808319622e-12,0.0008267741203239296,0.9991732258776477,5.691642414762033,0.6546248793916583,12.58,296.38
2018-07-16,Low-TPU,Low-TPU,1.265584881827928e-14,1.4161256457345277e-12,0.0006520064655678388,0.9993479935330507,4.466023054577933,-1.2256193601840994,12.18,87.01
2018-07-17,Low-TPU,Low-TPU,5.01368624847097e-13,1.3733963104591022e-12,0.000633053806769583,0.9993669461918466,5.364058289510713,0.89803523493278,12.83,213.59
2018-07-18,Low-TPU,Low-TPU,2.1406542738461586e-15,1.363728147672693e-12,0.0006068765056535784,0.9993931234929387,4.315753276242594,-1.048305013268119,12.06,74.87
2018-07-19,Low-TPU,Low-TPU,7.652672587723965e-13,1.3542632491883726e-12,0.000583978519957137,0.9994160214786512,5.478762163329131,1.1630088870865372,12.1,239.55
2018-07-20,Low-TPU,Low-TPU,6.0064174082979994e-15,1.3118008441720196e-12,0.0005495452856694035,0.9994504547129525,4.386889790339869,-1.091872372989262,12.87,80.39
2018-07-23,Low-TPU,Low-TPU,2.360766139944497e-12,3.976504709122747e-13,0.0004612493313890755,0.9995387506681477,5.6652495249394175,1.2783597345995483,12.86,288.66
2018-07-24,Low-TPU,Low-TPU,4.4771625083708885e-15,4.0246748877401275e-13,0.0005002234326193037,0.9994997765668971,4.510639702141858,-1.1546098227975596,12.62,90.98
2018-07-25,Low-TPU,Low-TPU,6.1781908597576534e-15,3.7903505451548536e-12,0.0007995383617567374,0.9992004616343587,4.655578088531937,0.14493838639007883,12.41,105.17
2018-07-26,Low-TPU,Low-TPU,7.826762218685956e-14,8.017960642388901e-11,0.001358854438420166,0.9986411454812822,4.9905686319459415,0.3349905434140048,12.29,147.02
2018-07-27,Low-TPU,Low-TPU,2.3937678950334486e-13,8.563624180313094e-11,0.001672647488902785,0.9983273524253711,5.0204536030335944,0.02988497108765298,12.14,151.48
2018-07-30,Low-TPU,Low-TPU,6.082602743565973e-14,8.586145538720678e-11,0.001810079329717084,0.998189920584332,4.601463324056765,-0.41899027897682917,13.03,99.63
2018-07-31,Low-TPU,Low-TPU,3.438019918865551e-11,8.568003349367136e-11,0.0017844017762990143,0.9982155981379632,5.538121358755354,0.9366580346985884,14.26,254.2
2018-08-01,Low-TPU,Low-TPU,7.638946994416154e-10,8.570475844358933e-11,0.001818977916064514,0.9981810219981992,5.947199130809967,0.40907777205461304,12.83,382.68
2018-08-02,Low-TPU,Low-TPU,5.533162105119159e-11,8.570440489503241e-11,0.001816008528442502,0.9981839913858114,5.480638923341991,-0.46656020746797555,13.15,240.0
2018-08-03,Low-TPU,Low-TPU,2.258142258166742e-12,8.569804969408826e-11,0.0018021547802044443,0.998197845134092,5.074611156971351,-0.40602776637064064,12.19,159.91
2018-08-06,Low-TPU,Low-TPU,5.465472045902162e-13,8.567612862387065e-11,0.0017826328563160427,0.998217367058014,4.990432586778736,-0.08417857019261454,11.64,147.0
2018-08-07,Low-TPU,Low-TPU,2.5172666168821883e-13,8.567005037588265e-11,0.0017161595361616354,0.998283840378179,5.137796439712935,0.14736385293419918,11.27,170.34
2018-08-08,Low-TPU,Low-TPU,2.64270529040227e-15,8.223223277577434e-11,0.0013732962898057614,0.9986267036279679,4.486611849863956,-0.6511845898489792,10.93,88.82
2018-08-09,Low-TPU,Low-TPU,1.471561274548585e-14,5.8427637713820624e-12,0.0008010508908641494,0.9991989491033157,4.833579846974801,0.3469679971108448,10.85,125.66
2018-08-10,Low-TPU,Low-TPU,2.016608732731393e-14,3.0960167393461896e-13,0.0004135141714554515,0.9995864858282232,5.058027656398856,0.2244478094240554,11.27,157.28
2018-08-13,Low-TPU,Low-TPU,4.3547555507085537e-17,8.378748725591532e-14,0.00025222484712969794,0.99974777515277,4.079907514424331,-0.9781201419745251,13.16,59.14
2018-08-14,Low-TPU,Low-TPU,2.023187572410501e-15,2.91443505496768e-14,0.0001831143607311092,0.9998168856392002,4.924859517074852,0.8449520026505208,14.78,137.67
2018-08-15,Low-TPU,Low-TPU,9.397692736534128e-18,3.997287198453344e-15,0.00013597289287124148,0.9998640271070837,4.216414691442874,-0.708444825631978,13.31,67.79
2018-08-16,Low-TPU,Low-TPU,7.671715658532299e-20,3.772597076912104e-15,0.00013058787068944935,0.9998694121292907,3.782142084573626,-0.43427260686924773,14.64,43.91
2018-08-17,Low-TPU,Low-TPU,3.913797054811495e-19,2.319847319191952e-15,0.00011506312634162743,0.9998849368736117,3.933784497209659,0.15164241263603273,13.45,51.1
