Date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
2018-03-26,50251600,12197000,14560600,84145000,9183500,31906000,11684200,4544100,27519200,12374700,
2018-03-27,59497200,14726000,12512600,78827400,10948400,27846200,14582000,6480500,42912000,17326800,
2018-03-28,53622000,21892300,25948800,84244500,10146800,36457400,23688400,7058300,46346200,32397500,
2018-03-29,35368200,14051800,15285000,58290000,6914900,27936200,12421400,4264100,30929000,13272800,
2018-04-02,52034200,27498800,23776600,74363900,11364900,37986200,18658800,6294600,35585200,28604800,
2018-04-03,36101400,20149100,14615800,75160400,8590700,28228600,13572800,7277400,27597600,24860600,
2018-04-04,36298400,19987600,14885600,70327000,9085800,24981600,12873400,5217200,32714600,28012500,
2018-04-05,32738200,16496100,8463000,45378300,8031300,27056800,15388600,3365500,28572600,18235800,
2018-04-06,40477800,18353400,17529800,88521000,12171800,37767800,15822800,5657600,28624000,13113400,
2018-04-09,21859400,10279200,8520200,54633200,6952600,21639600,12578400,3302000,23512200,14686700,
2018-04-10,31297800,18459100,12824400,67801500,8097800,43684400,25605200,6040300,28182400,13041900,
2018-04-11,17315600,10633900,9580200,52480800,6205800,42381800,12914800,2896700,16048200,9025200,
2018-04-12,21256000,8921500,6114800,63289100,5096900,28623200,7073600,2634500,24157600,9843700,
2018-04-13,22421600,9904100,8868400,70103900,7837000,26660800,8643600,3011700,20874600,8836700,
2018-04-16,19477400,8232700,8481000,44633600,7217200,28048600,12664200,2515300,30795200,7804700,
2018-04-17,30445600,8676800,8151000,50750100,6500900,32210600,9562400,2845800,26389000,8131300,
2018-04-18,19764400,10138200,6596600,66795500,4704500,34623000,9472400,2118000,28240000,14496600,
2018-04-19,25811600,12515200,16129000,76142000,5833600,36300600,11639200,2723000,30335400,23643100,
2018-04-20,32477000,11612800,12510200,49800400,5250500,27380800,8702200,3173400,28160000,19102700,
2018-04-23,37920600,14427800,14082000,45689200,9257300,29689200,6195400,1929900,23874000,12344900,
2018-04-24,34847600,21104800,13404000,69592900,8904800,45575000,17448400,3914000,33808800,18771500,
2018-04-25,30581600,14949200,18794600,51819000,8068800,26326600,15901000,2337900,26815000,19012500,
2018-04-26,33086800,19955400,12969400,33456200,9463300,24433800,9875200,2621900,23534200,11009900,
2018-04-27,26313000,11555800,8851200,47185200,6663300,21078600,15796800,3408300,34314600,11096100,
2018-04-30,17372200,15867500,10006200,41731400,7241000,25926400,9750400,2895500,25492000,13892700,
2018-05-01,18547800,21829500,11210800,46372400,8498000,27601800,12562200,3077000,21942600,10927100,
2018-05-02,26587400,14789300,9553400,45430300,11594300,26869400,12740600,3362800,25960600,18818900,
2018-05-03,31090800,25826600,14015400,68947900,13524100,30659200,19521600,3260600,32960200,16634400,
2018-05-04,21682600,11695500,7979200,40575600,7889500,27171000,8905800,1804100,23486800,13132400,
2018-05-07,26914800,11812600,6900000,36873600,5886700,35947400,9891600,1737500,17044000,9665300,
2018-05-08,30294800,10341600,12194800,47718500,9522300,57548200,7349200,1693200,46295800,8290800,
2018-05-09,28826600,14973400,8049600,43817000,11340200,49807800,24065800,1498200,44301000,9228200,
2018-05-10,23132600,7213700,5861600,41445500,7845500,27780200,9666000,1628800,27922800,10242700,
2018-05-11,17521200,8060000,8848200,25894000,10434000,24021400,7105000,1206700,12957800,10065200,
2018-05-14,20261800,5856600,6649800,31292900,11837600,20452600,5571600,1882900,17025600,6708100,
2018-05-15,28525200,10180500,9116000,54655800,8806800,20965400,14327600,2371100,22141400,22686900,
2018-05-16,13361000,6281300,6478400,31984900,7013600,23994400,6724800,1562100,27082600,12151300,
2018-05-17,21600200,7519500,12729000,45070400,6610400,32542600,20734600,1758200,22552000,19572900,
2018-05-18,15765800,7482900,8217800,33266100,5838900,28185400,6550800,1395300,23620800,15664700,
2018-05-21,22578400,13744100,17494600,29647900,6406500,23026200,10592000,1477100,21484000,7928400,
2018-05-22,14782000,8754900,5990200,52841400,5770200,33166800,7705000,1567200,22051400,9383800,
2018-05-23,29387600,12909000,9254400,44968500,8360500,33211600,7298800,1543900,27165800,18136200,
2018-05-24,22401400,9371800,10967000,43245200,7166500,38309600,7098800,1537500,25795200,9843800,
2018-05-25,18782800,8111800,7681800,39312500,6853300,64907000,8115400,1713600,27743200,12913500,
2018-05-29,58660800,18470400,11808200,126469700,18236800,38655000,11699800,3255100,34561400,14959300,
2018-05-30,19930400,11431700,9843200,65843700,13167700,46044400,8706200,3589000,27771800,17628100,
2018-05-31,30568000,14117000,12867000,66686900,11543500,26517400,11556600,3811900,30216400,18603000,
2018-06-01,25445800,9717100,10437400,62934300,8037800,28205000,7605400,2424400,34360000,10944600,
2018-06-04,19866000,8788700,9414800,44196900,7230800,27378400,9079800,3660700,28729000,11665200,
2018-06-05,34549600,7906100,9162000,44996800,5444400,27415800,6651400,2623600,29829200,8980900,
2018-06-06,35379000,6751900,10920800,61960000,7218900,26958400,16384800,2120300,52255800,12071000,
2018-06-07,39047200,9952400,10699800,65166100,7405600,30357800,10314600,4379700,43051600,16618500,
2018-06-08,19809600,6557900,7687000,47713400,6247100,22473200,7572000,2237300,22482400,17081500,
2018-06-11,14647000,5225300,6369200,47319600,7074400,21435600,5773600,1788600,34670400,13199600,
2018-06-12,15626800,5802800,6976400,55517200,6829200,31414400,8955800,1508900,33322600,11362200,
2018-06-13,29278000,8553700,10105000,61095800,10379200,25004200,8118400,2002600,33451400,15696000,
2018-06-14,22654800,10501500,8383200,70635500,9379800,20582200,5079400,2131100,32277200,9751300,
2018-06-15,33641200,14757400,18213400,63387600,9349300,32178800,13055200,2439000,43422400,17217800,
2018-06-18,16580400,8330300,8047400,49824600,7342600,26368800,17983000,2107100,34453400,21627300,
2018-06-19,25913400,17955400,12339200,50214700,6431700,25215200,14423400,2535800,33294800,12639200,16600.0
2018-06-20,22931200,11975900,7886000,42833600,5900800,23311800,10670400,3725000,24635400,9562500,190000.0
2018-06-21,29634200,15497800,13700800,75190900,7423400,30019600,14373000,2827000,25407400,13272700,428700.0
2018-06-22,31385800,13643900,11135800,61389400,9829800,56072600,14228400,2292900,25953400,9938300,181500.0
2018-06-25,36055400,23091500,24133600,80746100,9925100,36760600,19581200,6956700,42932400,22124200,2509600.0
2018-06-26,27719000,11342100,9260000,56387800,5560100,27047200,7416200,2106700,39817400,14047300,104000.0
2018-06-27,44109200,19853200,13700800,78099200,7420500,41167800,11575600,3679600,43529400,19862400,144900.0
2018-06-28,35598000,15329800,11947800,78544800,9026900,28570800,11778800,2795800,30075600,13177400,336500.0
2018-06-29,20019200,14908000,11481400,77149900,6479300,26335800,10085800,2923000,28741400,13018300,152300.0
2018-07-02,25091200,14098700,13797400,66202800,9364700,30593200,15365800,6280200,31405600,13255500,321300.0
2018-07-03,12722800,7083300,5818600,30717800,3023100,18616400,6778800,2916200,21211200,7736300,97500.0
2018-07-05,27320000,8465700,7576600,40668500,7458600,19939000,11118400,2699600,22062000,11699800,324900.0
2018-07-06,25603800,9757500,10370000,41285000,9822500,18620600,9061800,2440800,24793400,12335100,199800.0
2018-07-09,17455200,13034000,7461400,73447400,7874400,22118400,9075600,2344600,55873600,15117900,118100.0
2018-07-10,22986200,9880400,6359200,51260600,6122900,22007200,11946600,3077300,54218200,15280300,1153200.0
2018-07-11,25949800,14208000,8864400,46023700,6434500,38725600,22691200,2347300,43544600,11484600,227500.0
2018-07-12,23706600,12705600,5828400,64876800,4461600,25136000,13238000,1660700,34273400,11002300,361400.0
2018-07-13,18516800,18494200,11044000,64146900,6048700,22846200,6924000,2142700,21918600,14053500,80100.0
2018-07-16,13332000,9576100,6192600,55812000,5388500,22781200,8983200,2759100,20986400,10347400,200700.0
2018-07-17,14903200,7326000,8143800,55502200,5849300,19506400,15364000,1720400,22107000,14759300,172600.0
2018-07-18,14164000,13821300,12812200,59109200,7575700,30703000,11774400,2092200,20722600,10474200,147800.0
2018-07-19,14910000,8790000,7219400,61765100,5204000,32463600,12835000,2363400,22238800,15092800,258400.0
2018-07-20,14439600,7922400,6661000,51562300,4822600,21722400,14633600,2041700,27657000,17895700,158400.0
2018-07-23,25151000,7822000,6738400,81516200,3824600,15247600,8299000,2796900,29527400,13337200,94800.0
2018-07-24,21557200,12140400,9651200,63133700,6467100,20337000,14233600,2104200,31397600,15987700,211200.0
2018-07-25,30466200,17949600,12540000,44197200,9285900,22070600,9467200,2608800,26937400,15258400,604300.0
2018-07-26,25094400,15115200,11604000,40056800,5763000,24374800,12395400,2256900,38142000,15129400,833400.0
2018-07-27,63550200,11281500,13097600,63149400,5742900,25281800,11041400,2666300,31495800,13414400,1111200.0
2018-07-30,35695400,13423600,13132400,56474100,5531200,22790000,6944400,2941100,18952800,12143900,251300.0
2018-07-31,29954000,17709500,12309400,84500100,6719100,22581000,10475200,4027300,30439600,17898400,1211400.0
2018-08-01,29322800,14214600,10437200,64046900,5733000,22345000,12120800,3776600,39970800,14917600,1250400.0
2018-08-02,26209800,10812400,8723000,38330700,5666200,19379400,18536200,2963100,34583800,15902900,190700.0
2018-08-03,14491400,11021500,6571800,34894300,5884800,15326600,10659200,2721000,30833200,20418500,117200.0
2018-08-06,15000400,5460300,7250600,38230100,4751100,16400200,9262200,2860800,24398200,13412100,110200.0
2018-08-07,20545400,8381900,6441000,44608600,5170300,23596600,9514800,2122400,26216400,13766100,128800.0
2018-08-08,14197200,4745200,5458000,47522000,5020400,18797600,13012400,2437300,34012000,12591800,114200.0
2018-08-09,23446200,13085900,11075000,29357800,5680300,30465000,8488200,1937500,17362200,8047000,306400.0
2018-08-10,23138400,10684800,9892400,83301400,5389500,33955400,12104600,2656000,26601000,13459200,177600.0
2018-08-13,24128800,13471800,11969400,74413500,6563900,19634000,10872200,1652300,34546800,8696600,261000.0
2018-08-14,18359000,8500500,8380600,43659000,5497700,20875800,8272000,1559100,19887600,8882500,189800.0
2018-08-15,35584400,20329400,12503600,55681100,6840600,52800800,16990400,2608300,38545400,15592600,555100.0
2018-08-16,18208800,10447200,7680200,49534200,6916700,50026600,12689400,4032200,26545800,15526100,177600.0
2018-08-17,18048200,13993100,6022400,43193100,5455300,23065400,10518000,2608600,28230200,13037600,226900.0
2018-08-20,21239600,8239300,13138600,30053700,8144900,16691400,9683000,1947100,19149200,10189600,145800.0
2018-08-21,16004600,10034000,8342600,47940000,6395900,19018200,9916000,2117700,23701600,13806200,384900.0
2018-08-22,12742400,7149700,5514800,27323300,3954300,18690800,10865400,1380300,25305200,13573900,501900.0
2018-08-23,18735000,8336500,7989000,31767800,6058300,12937800,8884000,1233500,22336200,10714300,283700.0
2018-08-24,13115200,6411600,10518600,22064500,4028900,15506600,9903200,3533100,15692600,9570500,330900.0
2018-08-27,16415000,9767500,6032000,52254500,4671300,13969800,11218200,2515300,24768200,10631600,299200.0
2018-08-28,14770400,8440600,7619400,28896800,4954100,16787000,7686200,1887900,20132200,12621500,150200.0
2018-08-29,22364600,6339000,16623600,34015300,5338500,15520800,8557000,1468700,23822400,8681000,270900.0
